,Unnamed: 0,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
30,30,2015-07,6568499.0,3093605.0,3474894.0,18.25483870967741,13.5258064516129,22.725806451612904,7.474193548387097,1.6709677419354838,3.07741935483871,1.1225806451612903,2015-07,6568499.0,3093605.0,3474894.0,18.25483870967741,13.5258064516129,22.7258064516129,7.474193548387097,1.670967741935484,3.07741935483871,1.12258064516129,2002-07,4289281,2034750,2254531,17.258064516129032,13.306451612903228,21.32258064516129,5.612903225806451,1.825806451612904,3.070967741935484,1.6903225806451612
31,31,2015-08,6606203.0,3459913.0,3146290.0,18.52258064516129,14.235483870967744,23.119354838709675,6.751612903225807,2.393548387096774,4.422580645161289,1.883870967741936,2015-08,6606203.0,3459913.0,3146290.0,18.52258064516129,14.23548387096774,23.11935483870968,6.751612903225807,2.393548387096774,4.422580645161289,1.883870967741936,2002-08,4276395,2238757,2037638,18.75483870967741,14.483870967741934,22.70967741935484,5.080645161290323,1.190322580645161,3.338709677419355,1.2741935483870968
32,32,2016-07,7074939.0,3325563.0,3749376.0,18.34193548387097,13.9741935483871,22.5,7.174193548387097,0.5903225806451613,1.1516129032258062,0.7580645161290321,2016-07,7074939.0,3325563.0,3749376.0,18.34193548387097,13.9741935483871,22.5,7.174193548387097,0.5903225806451613,1.151612903225806,0.7580645161290321,2002-09,4020765,1996530,2024235,15.336666666666666,11.416666666666664,19.66666666666667,5.123333333333333,0.76,1.1366666666666665,0.5333333333333333
33,33,2016-08,7115921.0,3718176.0,3397745.0,18.151612903225807,13.59032258064516,22.27741935483872,7.754838709677419,1.6354838709677415,4.300000000000001,2.003225806451613,2016-08,7115921.0,3718176.0,3397745.0,18.15161290322581,13.59032258064516,22.27741935483872,7.754838709677419,1.635483870967742,4.300000000000001,2.003225806451613,2002-10,3862884,1964088,1898796,9.999999999999998,6.674193548387097,13.193548387096778,3.503225806451613,2.551612903225806,3.387096774193548,1.1032258064516127
34,34,2017-07,7532873.0,3560737.0,3972136.0,17.95483870967742,13.351612903225808,22.35806451612904,6.680645161290324,1.7032258064516128,3.95483870967742,1.874193548387097,2017-07,7532873.0,3560737.0,3972136.0,17.95483870967742,13.35161290322581,22.35806451612904,6.680645161290324,1.703225806451613,3.95483870967742,1.874193548387097,2002-11,2977998,1496868,1481130,8.21,5.273333333333334,10.903333333333336,2.283333333333333,2.563333333333333,3.4233333333333333,1.2566666666666664
35,35,2017-08,7608101.0,3944170.0,3663931.0,17.53870967741935,12.9258064516129,21.90967741935484,6.05483870967742,1.5258064516129033,3.064516129032258,1.1387096774193548,2017-08,7608101.0,3944170.0,3663931.0,17.53870967741935,12.9258064516129,21.90967741935484,6.05483870967742,1.525806451612903,3.064516129032258,1.138709677419355,2002-12,2912646,1418289,1494357,2.9096774193548387,0.9193548387096772,4.848387096774193,1.4193548387096773,2.57741935483871,3.103225806451613,0.864516129032258
36,36,2018-07,7691695.0,3621660.0,4070035.0,20.5741935483871,14.503225806451612,26.206451612903223,11.061290322580648,0.1129032258064516,0.1225806451612903,0.0806451612903225,2018-07,7691695.0,3621660.0,4070035.0,20.5741935483871,14.50322580645161,26.20645161290322,11.06129032258065,0.1129032258064516,0.1225806451612903,0.0806451612903225,2003-01,2813139,1427419,1385720,3.038709677419356,0.4290322580645163,5.325806451612903,2.4225806451612906,2.9322580645161285,3.1387096774193544,0.7806451612903228
37,37,2018-08,7786633.0,4018842.0,3767791.0,18.69354838709678,13.722580645161294,23.54516129032258,6.706451612903226,1.2612903225806449,2.62258064516129,1.0387096774193547,2018-08,7786633.0,4018842.0,3767791.0,18.69354838709678,13.72258064516129,23.54516129032258,6.706451612903226,1.261290322580645,2.62258064516129,1.038709677419355,2003-02,2741087,1346064,1395023,2.392857142857143,-0.9142857142857144,6.039285714285714,5.539285714285716,0.9107142857142856,0.8035714285714285,0.2821428571428572
38,38,2019-07,7730263.0,3633107.0,4097156.0,18.65806451612903,13.858064516129032,23.7258064516129,8.125806451612904,0.896774193548387,1.3870967741935485,0.5548387096774194,2019-07,7730263.0,3633107.0,4097156.0,18.65806451612903,13.85806451612903,23.7258064516129,8.125806451612904,0.896774193548387,1.387096774193548,0.5548387096774194,2003-03,3099952,1576809,1523143,7.354838709677419,2.6258064516129034,12.219354838709682,6.541935483870969,0.6903225806451614,0.4806451612903226,0.1709677419354839
39,39,2019-08,7859458.0,4067875.0,3791583.0,18.82258064516129,13.967741935483874,23.51935483870968,7.76774193548387,1.0903225806451613,1.7999999999999996,0.7354838709677418,2019-08,7859458.0,4067875.0,3791583.0,18.82258064516129,13.96774193548387,23.51935483870968,7.76774193548387,1.090322580645161,1.8,0.7354838709677418,2003-04,3108279,1496581,1611698,10.18666666666667,4.96,14.996666666666664,8.089999999999998,0.93,1.61,0.8866666666666666
